metadata field,Child Doc Octiv ID,parent begdoc id,Parent Doc Octiv ID
parent_begdoc,2719117,CTRL00019575,2719112
parent_begdoc,2718882,CTRL00019231,2719108
parent_begdoc,2718883,CTRL00019231,2719108
parent_begdoc,2718884,CTRL00019231,2719108
parent_begdoc,2719106,CTRL00019231,2719108
parent_begdoc,2719107,CTRL00019231,2719108
parent_begdoc,2719109,CTRL00019231,2719108
parent_begdoc,2719104,CTRL00018851,2719103
parent_begdoc,2719105,CTRL00018851,2719103
parent_begdoc,2719099,CTRL00018735,2719100
parent_begdoc,2719101,CTRL00018735,2719100
parent_begdoc,2719102,CTRL00018735,2719100
parent_begdoc,2719096,CTRL00018968,2719097
parent_begdoc,2719098,CTRL00018968,2719097
parent_begdoc,2719092,CTRL00018877,2719095
parent_begdoc,2719093,CTRL00018877,2719095
parent_begdoc,2719094,CTRL00018877,2719095
parent_begdoc,2719088,CTRL00019192,2719089
parent_begdoc,2719090,CTRL00019192,2719089
parent_begdoc,2719091,CTRL00019192,2719089
parent_begdoc,2719083,CTRL00018746,2719086
parent_begdoc,2719085,CTRL00018746,2719086
parent_begdoc,2719087,CTRL00018746,2719086
parent_begdoc,2719079,CTRL00018648,2719082
parent_begdoc,2719080,CTRL00018648,2719082
parent_begdoc,2719081,CTRL00018648,2719082
parent_begdoc,2719074,CTRL00018662,2719077
parent_begdoc,2719076,CTRL00018662,2719077
parent_begdoc,2719078,CTRL00018662,2719077
parent_begdoc,2719068,CTRL00018781,2719069
parent_begdoc,2719070,CTRL00018781,2719069
parent_begdoc,2719071,CTRL00018781,2719069
parent_begdoc,2719072,CTRL00018781,2719069
parent_begdoc,2719073,CTRL00018781,2719069
parent_begdoc,2719064,CTRL00019198,2719067
parent_begdoc,2719065,CTRL00019198,2719067
parent_begdoc,2719066,CTRL00019198,2719067
parent_begdoc,2719059,CTRL00018769,2719060
parent_begdoc,2719062,CTRL00018769,2719060
parent_begdoc,2719063,CTRL00018769,2719060
parent_begdoc,2719053,CTRL00019081,2719055
parent_begdoc,2719054,CTRL00019081,2719055
parent_begdoc,2719056,CTRL00019081,2719055
parent_begdoc,2719057,CTRL00019081,2719055
parent_begdoc,2719058,CTRL00019081,2719055
parent_begdoc,2719048,CTRL00018711,2719051
parent_begdoc,2719049,CTRL00018711,2719051
parent_begdoc,2719052,CTRL00018711,2719051
parent_begdoc,2719045,CTRL00018641,2719044
parent_begdoc,2719046,CTRL00018641,2719044
parent_begdoc,2719047,CTRL00018641,2719044
parent_begdoc,2719039,CTRL00019033,2719040
parent_begdoc,2719042,CTRL00019033,2719040
parent_begdoc,2719043,CTRL00019033,2719040
parent_begdoc,2719036,CTRL00018658,2719037
parent_begdoc,2719037,CTRL00018658,2719037
parent_begdoc,2719038,CTRL00018658,2719037
parent_begdoc,2719033,CTRL00018989,2719034
parent_begdoc,2719035,CTRL00018989,2719034
parent_begdoc,2719030,CTRL00018763,2719029
parent_begdoc,2719031,CTRL00018763,2719029
parent_begdoc,2719028,CTRL00019138,2719027
parent_begdoc,2719022,CTRL00018870,2719023
parent_begdoc,2719024,CTRL00018870,2719023
parent_begdoc,2719025,CTRL00018870,2719023
parent_begdoc,2719026,CTRL00018870,2719023
parent_begdoc,2719018,CTRL00018912,2719017
parent_begdoc,2719019,CTRL00018912,2719017
parent_begdoc,2719020,CTRL00018912,2719017
parent_begdoc,2719021,CTRL00018912,2719017
parent_begdoc,2719013,CTRL00019200,2719012
parent_begdoc,2719014,CTRL00019200,2719012
parent_begdoc,2719015,CTRL00019200,2719012
parent_begdoc,2719016,CTRL00019200,2719012
parent_begdoc,2719010,CTRL00018685,2719009
parent_begdoc,2719011,CTRL00018685,2719009
parent_begdoc,2719004,CTRL00019213,2719005
parent_begdoc,2719006,CTRL00019213,2719005
parent_begdoc,2719007,CTRL00019213,2719005
parent_begdoc,2719008,CTRL00019213,2719005
parent_begdoc,2718998,CTRL00019002,2718999
parent_begdoc,2719000,CTRL00019002,2718999
parent_begdoc,2719001,CTRL00019002,2718999
parent_begdoc,2719002,CTRL00019002,2718999
parent_begdoc,2752158,CTRL00019002,2718999
parent_begdoc,2718991,CTRL00018995,2718993
